Delivery_ID,Order_ID,Courier_Partner,Delivery_Days,Delivery_Status
395,ORD100395,Delhivery,7,Delivered
396,ORD100396,Blue Dart,2,Delivered
397,ORD100397,DTDC,3,Delivered
398,ORD100398,Ekart,4,Delivered
399,ORD100399,XpressBees,5,In Transit
400,ORD100400,Delhivery,6,Delivered
401,ORD100401,Blue Dart,7,Delivered
402,ORD100402,DTDC,2,Delivered
403,ORD100403,Ekart,3,Delivered
404,ORD100404,XpressBees,4,In Transit
405,ORD100405,Delhivery,5,Delivered
406,ORD100406,Blue Dart,6,Delivered
407,ORD100407,DTDC,7,Delivered
408,ORD100408,Ekart,2,Delivered
409,ORD100409,XpressBees,3,In Transit
410,ORD100410,Delhivery,4,Delivered
411,ORD100411,Blue Dart,5,Delivered
412,ORD100412,DTDC,6,Delivered
413,ORD100413,Ekart,7,Delivered
414,ORD100414,XpressBees,2,In Transit
415,ORD100415,Delhivery,3,Delivered
416,ORD100416,Blue Dart,4,Delivered
417,ORD100417,DTDC,5,Delivered
418,ORD100418,Ekart,6,Delivered
419,ORD100419,XpressBees,7,In Transit
420,ORD100420,Delhivery,2,Delivered
421,ORD100421,Blue Dart,3,Delivered
422,ORD100422,DTDC,4,Delivered
423,ORD100423,Ekart,5,Delivered
424,ORD100424,XpressBees,6,In Transit
425,ORD100425,Delhivery,7,Delivered
426,ORD100426,Blue Dart,2,Delivered
427,ORD100427,DTDC,3,Delivered
428,ORD100428,Ekart,4,Delivered
429,ORD100429,XpressBees,5,In Transit
430,ORD100430,Delhivery,6,Delivered
431,ORD100431,Blue Dart,7,Delivered
432,ORD100432,DTDC,2,Delivered
433,ORD100433,Ekart,3,Delivered
434,ORD100434,XpressBees,4,In Transit
435,ORD100435,Delhivery,5,Delivered
436,ORD100436,Blue Dart,6,Delivered
437,ORD100437,DTDC,7,Delivered
438,ORD100438,Ekart,2,Delivered
439,ORD100439,XpressBees,3,In Transit
440,ORD100440,Delhivery,4,Delivered
441,ORD100441,Blue Dart,5,Delivered
442,ORD100442,DTDC,6,Delivered
443,ORD100443,Ekart,7,Delivered
444,ORD100444,XpressBees,2,In Transit
445,ORD100445,Delhivery,3,Delivered
446,ORD100446,Blue Dart,4,Delivered
447,ORD100447,DTDC,5,Delivered
448,ORD100448,Ekart,6,Delivered
449,ORD100449,XpressBees,7,In Transit
450,ORD100450,Delhivery,2,Delivered
451,ORD100451,Blue Dart,3,Delivered
452,ORD100452,DTDC,4,Delivered
453,ORD100453,Ekart,5,Delivered
454,ORD100454,XpressBees,6,In Transit
455,ORD100455,Delhivery,7,Delivered
456,ORD100456,Blue Dart,2,Delivered
457,ORD100457,DTDC,3,Delivered
458,ORD100458,Ekart,4,Delivered
459,ORD100459,XpressBees,5,In Transit
460,ORD100460,Delhivery,6,Delivered
461,ORD100461,Blue Dart,7,Delivered
462,ORD100462,DTDC,2,Delivered
463,ORD100463,Ekart,3,Delivered
464,ORD100464,XpressBees,4,In Transit
465,ORD100465,Delhivery,5,Delivered
466,ORD100466,Blue Dart,6,Delivered
467,ORD100467,DTDC,7,Delivered
468,ORD100468,Ekart,2,Delivered
469,ORD100469,XpressBees,3,In Transit
470,ORD100470,Delhivery,4,Delivered
471,ORD100471,Blue Dart,5,Delivered
472,ORD100472,DTDC,6,Delivered
473,ORD100473,Ekart,7,Delivered
474,ORD100474,XpressBees,2,In Transit
475,ORD100475,Delhivery,3,Delivered
476,ORD100476,Blue Dart,4,Delivered
477,ORD100477,DTDC,5,Delivered
478,ORD100478,Ekart,6,Delivered
479,ORD100479,XpressBees,7,In Transit
480,ORD100480,Delhivery,2,Delivered
481,ORD100481,Blue Dart,3,Delivered
482,ORD100482,DTDC,4,Delivered
483,ORD100483,Ekart,5,Delivered
484,ORD100484,XpressBees,6,In Transit
485,ORD100485,Delhivery,7,Delivered
486,ORD100486,Blue Dart,2,Delivered
487,ORD100487,DTDC,3,Delivered
488,ORD100488,Ekart,4,Delivered
489,ORD100489,XpressBees,5,In Transit
490,ORD100490,Delhivery,6,Delivered
491,ORD100491,Blue Dart,7,Delivered
492,ORD100492,DTDC,2,Delivered
493,ORD100493,Ekart,3,Delivered
494,ORD100494,XpressBees,4,In Transit
495,ORD100495,Delhivery,5,Delivered
496,ORD100496,Blue Dart,6,Delivered
497,ORD100497,DTDC,7,Delivered
498,ORD100498,Ekart,2,Delivered
499,ORD100499,XpressBees,3,In Transit
500,ORD100500,Delhivery,4,Delivered
501,ORD100501,Blue Dart,5,Delivered
502,ORD100502,DTDC,6,Delivered
503,ORD100503,Ekart,7,Delivered
504,ORD100504,XpressBees,2,In Transit
505,ORD100505,Delhivery,3,Delivered
506,ORD100506,Blue Dart,4,Delivered
507,ORD100507,DTDC,5,Delivered
508,ORD100508,Ekart,6,Delivered
509,ORD100509,XpressBees,7,In Transit
510,ORD100510,Delhivery,2,Delivered
511,ORD100511,Blue Dart,3,Delivered
512,ORD100512,DTDC,4,Delivered
513,ORD100513,Ekart,5,Delivered
514,ORD100514,XpressBees,6,In Transit
515,ORD100515,Delhivery,7,Delivered
516,ORD100516,Blue Dart,2,Delivered
517,ORD100517,DTDC,3,Delivered
518,ORD100518,Ekart,4,Delivered
519,ORD100519,XpressBees,5,In Transit
520,ORD100520,Delhivery,6,Delivered
521,ORD100521,Blue Dart,7,Delivered
522,ORD100522,DTDC,2,Delivered
523,ORD100523,Ekart,3,Delivered
524,ORD100524,XpressBees,4,In Transit
525,ORD100525,Delhivery,5,Delivered
526,ORD100526,Blue Dart,6,Delivered
527,ORD100527,DTDC,7,Delivered
528,ORD100528,Ekart,2,Delivered
529,ORD100529,XpressBees,3,In Transit
530,ORD100530,Delhivery,4,Delivered
531,ORD100531,Blue Dart,5,Delivered
532,ORD100532,DTDC,6,Delivered
533,ORD100533,Ekart,7,Delivered
534,ORD100534,XpressBees,2,In Transit
535,ORD100535,Delhivery,3,Delivered
536,ORD100536,Blue Dart,4,Delivered
537,ORD100537,DTDC,5,Delivered
538,ORD100538,Ekart,6,Delivered
539,ORD100539,XpressBees,7,In Transit
540,ORD100540,Delhivery,2,Delivered
541,ORD100541,Blue Dart,3,Delivered
542,ORD100542,DTDC,4,Delivered
543,ORD100543,Ekart,5,Delivered
544,ORD100544,XpressBees,6,In Transit
545,ORD100545,Delhivery,7,Delivered
546,ORD100546,Blue Dart,2,Delivered
547,ORD100547,DTDC,3,Delivered
548,ORD100548,Ekart,4,Delivered
549,ORD100549,XpressBees,5,In Transit
550,ORD100550,Delhivery,6,Delivered
551,ORD100551,Blue Dart,7,Delivered
552,ORD100552,DTDC,2,Delivered
553,ORD100553,Ekart,3,Delivered
554,ORD100554,XpressBees,4,In Transit
555,ORD100555,Delhivery,5,Delivered
556,ORD100556,Blue Dart,6,Delivered
557,ORD100557,DTDC,7,Delivered
558,ORD100558,Ekart,2,Delivered
559,ORD100559,XpressBees,3,In Transit
560,ORD100560,Delhivery,4,Delivered
561,ORD100561,Blue Dart,5,Delivered
562,ORD100562,DTDC,6,Delivered
563,ORD100563,Ekart,7,Delivered
564,ORD100564,XpressBees,2,In Transit
565,ORD100565,Delhivery,3,Delivered
566,ORD100566,Blue Dart,4,Delivered
567,ORD100567,DTDC,5,Delivered
568,ORD100568,Ekart,6,Delivered
569,ORD100569,XpressBees,7,In Transit
570,ORD100570,Delhivery,2,Delivered
571,ORD100571,Blue Dart,3,Delivered
572,ORD100572,DTDC,4,Delivered
573,ORD100573,Ekart,5,Delivered
574,ORD100574,XpressBees,6,In Transit
575,ORD100575,Delhivery,7,Delivered
576,ORD100576,Blue Dart,2,Delivered
577,ORD100577,DTDC,3,Delivered
578,ORD100578,Ekart,4,Delivered
579,ORD100579,XpressBees,5,In Transit
580,ORD100580,Delhivery,6,Delivered
581,ORD100581,Blue Dart,7,Delivered
582,ORD100582,DTDC,2,Delivered
583,ORD100583,Ekart,3,Delivered
584,ORD100584,XpressBees,4,In Transit
585,ORD100585,Delhivery,5,Delivered
586,ORD100586,Blue Dart,6,Delivered
587,ORD100587,DTDC,7,Delivered
588,ORD100588,Ekart,2,Delivered
589,ORD100589,XpressBees,3,In Transit
590,ORD100590,Delhivery,4,Delivered
591,ORD100591,Blue Dart,5,Delivered
592,ORD100592,DTDC,6,Delivered
593,ORD100593,Ekart,7,Delivered
594,ORD100594,XpressBees,2,In Transit
595,ORD100595,Delhivery,3,Delivered
596,ORD100596,Blue Dart,4,Delivered
597,ORD100597,DTDC,5,Delivered
598,ORD100598,Ekart,6,Delivered
599,ORD100599,XpressBees,7,In Transit
600,ORD100600,Delhivery,2,Delivered
601,ORD100601,Blue Dart,3,Delivered
602,ORD100602,DTDC,4,Delivered
603,ORD100603,Ekart,5,Delivered
604,ORD100604,XpressBees,6,In Transit
605,ORD100605,Delhivery,7,Delivered
606,ORD100606,Blue Dart,2,Delivered
607,ORD100607,DTDC,3,Delivered
608,ORD100608,Ekart,4,Delivered
609,ORD100609,XpressBees,5,In Transit
610,ORD100610,Delhivery,6,Delivered
611,ORD100611,Blue Dart,7,Delivered
612,ORD100612,DTDC,2,Delivered
613,ORD100613,Ekart,3,Delivered
614,ORD100614,XpressBees,4,In Transit
615,ORD100615,Delhivery,5,Delivered
616,ORD100616,Blue Dart,6,Delivered
617,ORD100617,DTDC,7,Delivered
618,ORD100618,Ekart,2,Delivered
619,ORD100619,XpressBees,3,In Transit
620,ORD100620,Delhivery,4,Delivered
621,ORD100621,Blue Dart,5,Delivered
622,ORD100622,DTDC,6,Delivered
623,ORD100623,Ekart,7,Delivered
624,ORD100624,XpressBees,2,In Transit
625,ORD100625,Delhivery,3,Delivered
626,ORD100626,Blue Dart,4,Delivered
627,ORD100627,DTDC,5,Delivered
628,ORD100628,Ekart,6,Delivered
629,ORD100629,XpressBees,7,In Transit
630,ORD100630,Delhivery,2,Delivered
631,ORD100631,Blue Dart,3,Delivered
632,ORD100632,DTDC,4,Delivered
633,ORD100633,Ekart,5,Delivered
634,ORD100634,XpressBees,6,In Transit
635,ORD100635,Delhivery,7,Delivered
636,ORD100636,Blue Dart,2,Delivered
637,ORD100637,DTDC,3,Delivered
638,ORD100638,Ekart,4,Delivered
639,ORD100639,XpressBees,5,In Transit
640,ORD100640,Delhivery,6,Delivered
641,ORD100641,Blue Dart,7,Delivered
642,ORD100642,DTDC,2,Delivered
643,ORD100643,Ekart,3,Delivered
644,ORD100644,XpressBees,4,In Transit
645,ORD100645,Delhivery,5,Delivered
646,ORD100646,Blue Dart,6,Delivered
647,ORD100647,DTDC,7,Delivered
648,ORD100648,Ekart,2,Delivered
649,ORD100649,XpressBees,3,In Transit
650,ORD100650,Delhivery,4,Delivered
651,ORD100651,Blue Dart,5,Delivered
652,ORD100652,DTDC,6,Delivered
653,ORD100653,Ekart,7,Delivered
654,ORD100654,XpressBees,2,In Transit
655,ORD100655,Delhivery,3,Delivered
656,ORD100656,Blue Dart,4,Delivered
657,ORD100657,DTDC,5,Delivered
658,ORD100658,Ekart,6,Delivered
659,ORD100659,XpressBees,7,In Transit
660,ORD100660,Delhivery,2,Delivered
661,ORD100661,Blue Dart,3,Delivered
662,ORD100662,DTDC,4,Delivered
663,ORD100663,Ekart,5,Delivered
664,ORD100664,XpressBees,6,In Transit
665,ORD100665,Delhivery,7,Delivered
666,ORD100666,Blue Dart,2,Delivered
667,ORD100667,DTDC,3,Delivered
668,ORD100668,Ekart,4,Delivered
669,ORD100669,XpressBees,5,In Transit
