Return_ID,Order_ID,Return_Date,Return_Reason,Refund_Amount
45,ORD100441,2025-01-10,Damaged,112596.45
46,ORD100451,2025-08-03,Wrong Item,9110.2
47,ORD100461,2025-02-03,Size Issue,4045.56
48,ORD100471,2024-10-03,Customer Changed Mind,12980.68
49,ORD100481,2025-08-25,Late Delivery,20070.85
50,ORD100491,2024-08-26,Damaged,15953.48
51,ORD100501,2024-09-09,Wrong Item,51142.28
52,ORD100511,2024-03-04,Size Issue,45461.02
53,ORD100521,2025-06-05,Customer Changed Mind,34114.1
54,ORD100531,2025-09-05,Late Delivery,9891.59
55,ORD100541,2024-05-30,Damaged,15783.1
56,ORD100551,2025-07-18,Wrong Item,30696.98
57,ORD100561,2024-12-04,Size Issue,1353.51
58,ORD100571,2025-12-17,Customer Changed Mind,52532.71
59,ORD100581,2025-02-13,Late Delivery,41302.35
60,ORD100591,2024-11-09,Damaged,12439.95
61,ORD100601,2025-02-23,Wrong Item,28316.69
62,ORD100611,2024-05-13,Size Issue,29178.5
63,ORD100621,2024-03-13,Customer Changed Mind,26041.74
64,ORD100631,2024-03-02,Late Delivery,19431.6
65,ORD100641,2025-06-06,Damaged,13657.92
66,ORD100651,2025-10-01,Wrong Item,32957.49
67,ORD100661,2024-05-03,Size Issue,41995.27
68,ORD100671,2024-09-10,Customer Changed Mind,55744.71
69,ORD100681,2024-07-26,Late Delivery,10201.38
70,ORD100691,2025-10-21,Damaged,12391.44
71,ORD100701,2025-09-16,Wrong Item,2260.98
72,ORD100711,2024-09-10,Size Issue,13008.67
73,ORD100721,2024-05-08,Customer Changed Mind,14088.26
74,ORD100731,2024-04-17,Late Delivery,81468.63
75,ORD100741,2025-02-25,Damaged,7038.74
76,ORD100751,2025-02-26,Wrong Item,27334.06
77,ORD100761,2024-06-02,Size Issue,6995.38
78,ORD100771,2025-11-08,Customer Changed Mind,11511.19
79,ORD100781,2024-02-15,Late Delivery,67612.46
80,ORD100791,2025-08-18,Damaged,60545.87
81,ORD100801,2025-05-15,Wrong Item,53009.96
82,ORD100811,2024-09-05,Size Issue,22492.53
83,ORD100821,2024-12-18,Customer Changed Mind,13125.36
84,ORD100831,2024-10-12,Late Delivery,60727.54
85,ORD100841,2024-03-18,Damaged,20737.57
86,ORD100851,2024-11-22,Wrong Item,27698.5
87,ORD100861,2025-08-10,Size Issue,25276.91
88,ORD100871,2025-09-19,Customer Changed Mind,18262.68
89,ORD100881,2024-12-04,Late Delivery,16774.83
90,ORD100891,2024-05-10,Damaged,71575.2
91,ORD100901,2024-02-01,Wrong Item,12292.13
92,ORD100911,2026-01-03,Size Issue,3172.3
93,ORD100921,2024-05-25,Customer Changed Mind,32808.63
94,ORD100931,2025-12-12,Late Delivery,46711.16
95,ORD100941,2024-05-13,Damaged,3691.85
96,ORD100951,2025-08-21,Wrong Item,50082.99
97,ORD100961,2025-04-28,Size Issue,18675.91
98,ORD100971,2024-07-17,Customer Changed Mind,3481.33
99,ORD100981,2024-07-31,Late Delivery,65461.18
100,ORD100991,2024-09-01,Damaged,34460.33
101,ORD101001,2024-03-19,Wrong Item,56485.14
102,ORD101011,2025-02-04,Size Issue,34631.68
103,ORD101021,2024-12-24,Customer Changed Mind,11975.02
104,ORD101031,2025-10-21,Late Delivery,12381.25
105,ORD101041,2024-07-23,Damaged,10261.57
106,ORD101051,2024-09-20,Wrong Item,12793.3
107,ORD101061,2024-11-18,Size Issue,38737.68
108,ORD101071,2024-03-12,Customer Changed Mind,43162.37
109,ORD101081,2024-03-02,Late Delivery,12323.15
110,ORD101091,2025-01-09,Damaged,4986.31
111,ORD101101,2025-11-01,Wrong Item,3474.68
112,ORD101111,2025-01-03,Size Issue,31502.06
113,ORD101121,2025-09-06,Customer Changed Mind,36588.21
114,ORD101131,2025-08-17,Late Delivery,42883.86
115,ORD101141,2025-03-07,Damaged,25626.35
116,ORD101151,2024-05-09,Wrong Item,46314.6
117,ORD101161,2025-12-15,Size Issue,24686.38
118,ORD101171,2024-01-22,Customer Changed Mind,20121.55
119,ORD101181,2025-02-21,Late Delivery,4641.62
120,ORD101191,2025-04-12,Damaged,10687.93
121,ORD101201,2024-01-28,Wrong Item,25386.21
122,ORD101211,2024-07-30,Size Issue,56296.69
123,ORD101221,2024-06-19,Customer Changed Mind,16851.24
124,ORD101231,2024-06-04,Late Delivery,52277.04
125,ORD101241,2025-06-19,Damaged,47878.33
126,ORD101251,2024-06-05,Wrong Item,42302.82
127,ORD101261,2025-01-11,Size Issue,46622.79
128,ORD101271,2025-01-24,Customer Changed Mind,25385.52
129,ORD101281,2025-01-19,Late Delivery,19098.11
130,ORD101291,2024-07-15,Damaged,14731.52
131,ORD101301,2024-04-22,Wrong Item,34781.01
132,ORD101311,2025-09-19,Size Issue,14962.61
133,ORD101321,2024-04-18,Customer Changed Mind,31114.93
134,ORD101331,2024-12-25,Late Delivery,3424.5
135,ORD101341,2025-11-20,Damaged,13931.15
136,ORD101351,2025-06-26,Wrong Item,10371.65
137,ORD101361,2025-08-02,Size Issue,6837.36
138,ORD101371,2025-01-26,Customer Changed Mind,14387.46
139,ORD101381,2025-07-07,Late Delivery,7434.21
140,ORD101391,2024-01-28,Damaged,12100.67
141,ORD101401,2025-04-11,Wrong Item,2671.98
142,ORD101411,2025-02-01,Size Issue,10498.82
143,ORD101421,2024-03-03,Customer Changed Mind,6782.26
144,ORD101431,2024-07-04,Late Delivery,94589.84
145,ORD101441,2024-07-09,Damaged,29334.59
146,ORD101451,2024-07-31,Wrong Item,4899.62
147,ORD101461,2024-12-06,Size Issue,75426.1
148,ORD101471,2024-11-20,Customer Changed Mind,22479.04
149,ORD101481,2025-10-23,Late Delivery,3850.6
150,ORD101491,2024-09-19,Damaged,17599.55
151,ORD101501,2025-11-20,Wrong Item,17753.81
152,ORD101511,2025-10-18,Size Issue,37563.86
153,ORD101521,2024-07-20,Customer Changed Mind,13957.58
154,ORD101531,2025-07-06,Late Delivery,12592.58
155,ORD101541,2025-05-18,Damaged,15040.52
156,ORD101551,2025-09-26,Wrong Item,33365.37
157,ORD101561,2024-10-31,Size Issue,12417.52
158,ORD101571,2024-07-09,Customer Changed Mind,17390.2
159,ORD101581,2025-05-22,Late Delivery,39065.8
160,ORD101591,2024-02-17,Damaged,27176.93
161,ORD101601,2025-03-18,Wrong Item,31648.06
162,ORD101611,2024-09-29,Size Issue,5707.5
163,ORD101621,2025-09-22,Customer Changed Mind,100807.11
164,ORD101631,2025-05-21,Late Delivery,16008.05
165,ORD101641,2024-01-16,Damaged,10352.3
166,ORD101651,2024-02-18,Wrong Item,6021.89
167,ORD101661,2025-03-29,Size Issue,66152.3
168,ORD101671,2024-09-18,Customer Changed Mind,71041.1
169,ORD101681,2025-02-14,Late Delivery,11401.54
170,ORD101691,2025-11-09,Damaged,1375.63
171,ORD101701,2025-12-18,Wrong Item,62875.62
172,ORD101711,2024-05-31,Size Issue,6547.34
173,ORD101721,2025-03-17,Customer Changed Mind,38915.22
174,ORD101731,2025-10-09,Late Delivery,26411.65
175,ORD101741,2025-01-24,Damaged,58438.76
176,ORD101751,2025-12-08,Wrong Item,6425.3
177,ORD101761,2025-12-21,Size Issue,3086.28
178,ORD101771,2025-02-01,Customer Changed Mind,28823.92
179,ORD101781,2024-04-12,Late Delivery,12472.17
180,ORD101791,2024-06-20,Damaged,17429.88
181,ORD101801,2025-05-21,Wrong Item,34781.01
182,ORD101811,2024-11-30,Size Issue,36421.27
183,ORD101821,2025-01-19,Customer Changed Mind,8462.07
184,ORD101831,2025-04-16,Late Delivery,57620.25
185,ORD101841,2025-09-21,Damaged,59549.09
186,ORD101851,2024-03-26,Wrong Item,11159.12
187,ORD101861,2025-01-28,Size Issue,33891.08
188,ORD101871,2024-10-11,Customer Changed Mind,10660.4
189,ORD101881,2025-08-09,Late Delivery,18299.23
190,ORD101891,2025-07-20,Damaged,56885.49
191,ORD101901,2025-11-12,Wrong Item,5799.22
192,ORD101911,2025-10-13,Size Issue,6102.69
193,ORD101921,2025-07-20,Customer Changed Mind,20194
194,ORD101931,2025-09-29,Late Delivery,26340.27
195,ORD101941,2024-10-20,Damaged,5892.61
196,ORD101951,2025-07-08,Wrong Item,37867.14
197,ORD101961,2024-02-27,Size Issue,19246.8
198,ORD101971,2025-08-26,Customer Changed Mind,14666.26
199,ORD101981,2025-06-08,Late Delivery,42883.86
200,ORD101991,2025-06-11,Damaged,4033.56
201,ORD102001,2024-04-29,Wrong Item,51491.95
202,ORD102011,2025-01-31,Size Issue,6995.38
203,ORD102021,2024-08-21,Customer Changed Mind,16543.24
204,ORD102031,2024-03-23,Late Delivery,84323.2
205,ORD102041,2024-05-31,Damaged,44796.15
206,ORD102051,2025-11-30,Wrong Item,11773.22
207,ORD102061,2024-04-22,Size Issue,18883.93
208,ORD102071,2024-05-10,Customer Changed Mind,3432.92
209,ORD102081,2024-05-09,Late Delivery,73819.4
210,ORD102091,2024-03-31,Damaged,3313.5
211,ORD102101,2024-02-11,Wrong Item,13120.34
212,ORD102111,2025-02-16,Size Issue,89599.76
213,ORD102121,2024-02-22,Customer Changed Mind,19943.09
214,ORD102131,2026-01-01,Late Delivery,19014.47
215,ORD102141,2025-02-21,Damaged,28582.52
216,ORD102151,2025-04-07,Wrong Item,72827.46
217,ORD102161,2024-11-30,Size Issue,12343.19
218,ORD102171,2024-05-22,Customer Changed Mind,21528.51
219,ORD102181,2024-12-10,Late Delivery,76041.92
220,ORD102191,2025-05-18,Damaged,29164.26
221,ORD102201,2024-09-13,Wrong Item,36513.53
222,ORD102211,2024-11-14,Size Issue,64113.7
223,ORD102221,2025-11-15,Customer Changed Mind,4900.26
224,ORD102231,2024-03-17,Late Delivery,10897.55
225,ORD102241,2025-04-16,Damaged,42361.16
226,ORD102251,2025-01-31,Wrong Item,4448.75
227,ORD102261,2025-10-01,Size Issue,26584.55
228,ORD102271,2025-08-14,Customer Changed Mind,2386.59
229,ORD102281,2025-06-17,Late Delivery,27488.51
230,ORD102291,2025-09-23,Damaged,24288.71
231,ORD102301,2025-09-23,Wrong Item,31620.94
232,ORD102311,2025-08-24,Size Issue,12353.28
233,ORD102321,2025-02-02,Customer Changed Mind,14330.39
234,ORD102331,2025-04-01,Late Delivery,74280.36
235,ORD102341,2024-10-16,Damaged,53377.93
236,ORD102351,2025-03-23,Wrong Item,44216.2
237,ORD102361,2024-11-01,Size Issue,35884.67
238,ORD102371,2025-02-09,Customer Changed Mind,24584.26
239,ORD102381,2024-09-16,Late Delivery,40265.93
240,ORD102391,2024-06-02,Damaged,49006.75
241,ORD102401,2025-10-12,Wrong Item,96861.86
242,ORD102411,2025-03-01,Size Issue,26399.32
243,ORD102421,2025-10-07,Customer Changed Mind,13359.92
244,ORD102431,2025-09-16,Late Delivery,10867.73
245,ORD102441,2024-04-26,Damaged,13731.38
246,ORD102451,2024-03-25,Wrong Item,21602.92
247,ORD102461,2024-06-12,Size Issue,70953.95
248,ORD102471,2024-05-19,Customer Changed Mind,23244.27
249,ORD102481,2025-10-17,Late Delivery,60212.56
250,ORD102491,2024-06-01,Damaged,12574.04
251,ORD102501,2024-02-20,Wrong Item,45066.71
252,ORD102511,2025-02-07,Size Issue,16923.68
253,ORD102521,2024-01-30,Customer Changed Mind,16694.33
254,ORD102531,2024-02-25,Late Delivery,2579.31
255,ORD102541,2024-01-12,Damaged,120821.1
256,ORD102551,2025-09-02,Wrong Item,52156.7
257,ORD102561,2024-02-26,Size Issue,55270.25
258,ORD102571,2025-03-15,Customer Changed Mind,19456.56
259,ORD102581,2025-06-13,Late Delivery,5669.13
260,ORD102591,2025-08-03,Damaged,14801.85
261,ORD102601,2024-09-24,Wrong Item,57671.61
262,ORD102611,2024-09-06,Size Issue,19277.86
263,ORD102621,2024-03-27,Customer Changed Mind,27634.67
264,ORD102631,2024-09-25,Late Delivery,31393.26
265,ORD102641,2026-01-04,Damaged,9027.91
266,ORD102651,2025-04-28,Wrong Item,20025.98
267,ORD102661,2025-01-28,Size Issue,66893.65
268,ORD102671,2025-05-16,Customer Changed Mind,22749.17
269,ORD102681,2025-01-27,Late Delivery,17187.87
270,ORD102691,2024-06-22,Damaged,46104.41
271,ORD102701,2024-12-07,Wrong Item,6425.3
272,ORD102711,2025-09-22,Size Issue,17492.76
273,ORD102721,2024-09-27,Customer Changed Mind,26584.55
274,ORD102731,2025-08-30,Late Delivery,33076.15
275,ORD102741,2024-01-31,Damaged,39221.6
276,ORD102751,2025-08-12,Wrong Item,8938.77
277,ORD102761,2024-05-02,Size Issue,2951.55
278,ORD102771,2024-11-13,Customer Changed Mind,68920.67
279,ORD102781,2025-02-22,Late Delivery,66471.61
280,ORD102791,2024-10-17,Damaged,20383.94
281,ORD102801,2024-04-03,Wrong Item,11986.92
282,ORD102811,2024-04-02,Size Issue,99568.25
283,ORD102821,2024-06-07,Customer Changed Mind,28172.53
284,ORD102831,2025-09-27,Late Delivery,3432.92
285,ORD102841,2024-02-18,Damaged,3667.41
286,ORD102851,2024-04-21,Wrong Item,3691.85
287,ORD102861,2025-03-08,Size Issue,112160.66
288,ORD102871,2024-01-26,Customer Changed Mind,47438.64
289,ORD102881,2025-01-21,Late Delivery,17440.7
290,ORD102891,2025-03-10,Damaged,61599.06
291,ORD102901,2024-10-07,Wrong Item,49940.07
292,ORD102911,2024-01-25,Size Issue,43470.94
293,ORD102921,2025-06-16,Customer Changed Mind,32034.05
294,ORD102931,2025-12-11,Late Delivery,12458.14
295,ORD102941,2024-12-08,Damaged,39566.38
296,ORD102951,2024-03-27,Wrong Item,58487.24
297,ORD102961,2024-05-23,Size Issue,79851.06
298,ORD102971,2025-05-14,Customer Changed Mind,37932.58
299,ORD102981,2025-06-17,Late Delivery,71613
300,ORD102991,2024-12-04,Damaged,69236.65
301,ORD103001,2024-08-03,Wrong Item,81328.14
302,ORD103011,2024-07-01,Size Issue,54145.87
303,ORD103021,2025-11-29,Customer Changed Mind,2114.87
304,ORD103031,2024-03-06,Late Delivery,1067.68
305,ORD103041,2024-04-19,Damaged,13030.05
306,ORD103051,2024-05-13,Wrong Item,68976.65
307,ORD103061,2024-09-21,Size Issue,4530.12
308,ORD103071,2025-03-28,Customer Changed Mind,31106.35
309,ORD103081,2025-12-24,Late Delivery,13850.85
310,ORD103091,2024-01-23,Damaged,55451.2
311,ORD103101,2025-07-14,Wrong Item,18677.66
312,ORD103111,2025-09-18,Size Issue,7875.22
313,ORD103121,2025-02-28,Customer Changed Mind,25252.18
314,ORD103131,2024-12-07,Late Delivery,55186.27
315,ORD103141,2024-02-27,Damaged,10173.02
316,ORD103151,2025-12-19,Wrong Item,25638.09
317,ORD103161,2024-06-06,Size Issue,9503.06
318,ORD103171,2025-11-18,Customer Changed Mind,34445.62
319,ORD103181,2025-01-12,Late Delivery,31741.7
320,ORD103191,2025-08-10,Damaged,28416.44
321,ORD103201,2024-01-25,Wrong Item,16108.47
322,ORD103211,2025-04-22,Size Issue,68220.88
323,ORD103221,2024-11-06,Customer Changed Mind,13944.15
324,ORD103231,2025-05-03,Late Delivery,42773.65
325,ORD103241,2025-05-17,Damaged,1729.5
326,ORD103251,2024-07-24,Wrong Item,30363.77
327,ORD103261,2024-12-09,Size Issue,37589.14
328,ORD103271,2024-01-17,Customer Changed Mind,17571.96
329,ORD103281,2024-10-03,Late Delivery,13784.52
330,ORD103291,2025-07-14,Damaged,23815.62
331,ORD103301,2025-12-25,Wrong Item,6519.07
332,ORD103311,2024-01-09,Size Issue,6951.32
333,ORD103321,2025-04-02,Customer Changed Mind,32793.84
334,ORD103331,2024-11-13,Late Delivery,1599.54
335,ORD103341,2025-08-03,Damaged,37835.93
336,ORD103351,2024-01-30,Wrong Item,20267.36
337,ORD103361,2025-01-06,Size Issue,14566.18
338,ORD103371,2024-06-11,Customer Changed Mind,36035.95
339,ORD103381,2025-12-18,Late Delivery,9573.01
340,ORD103391,2025-10-18,Damaged,37855.6
341,ORD103401,2024-03-12,Wrong Item,10897.55
342,ORD103411,2025-10-31,Size Issue,60079.79
343,ORD103421,2024-05-30,Customer Changed Mind,13125.36
344,ORD103431,2024-06-20,Late Delivery,4303.61
345,ORD103441,2025-05-10,Damaged,42031.98
346,ORD103451,2024-12-18,Wrong Item,871.82
347,ORD103461,2025-11-16,Size Issue,16424.07
348,ORD103471,2025-05-11,Customer Changed Mind,5625.81
349,ORD103481,2025-07-15,Late Delivery,60838.92
350,ORD103491,2024-04-29,Damaged,13310.97
351,ORD103501,2024-07-12,Wrong Item,38174.34
352,ORD103511,2025-11-17,Size Issue,53128.65
353,ORD103521,2024-12-08,Customer Changed Mind,38028.06
354,ORD103531,2025-12-12,Late Delivery,6862.18
355,ORD103541,2024-04-24,Damaged,4185.47
356,ORD103551,2025-11-29,Wrong Item,9351.89
357,ORD103561,2025-06-12,Size Issue,58372.83
358,ORD103571,2025-05-16,Customer Changed Mind,32437.56
359,ORD103581,2024-09-22,Late Delivery,73585.15
360,ORD103591,2024-10-28,Damaged,7349.43
361,ORD103601,2025-04-10,Wrong Item,42688.27
362,ORD103611,2024-07-14,Size Issue,2829.16
363,ORD103621,2024-09-03,Customer Changed Mind,36440.34
364,ORD103631,2024-04-18,Late Delivery,12600.82
365,ORD103641,2024-05-11,Damaged,74969.72
366,ORD103651,2025-03-23,Wrong Item,11727.05
367,ORD103661,2025-01-24,Size Issue,4448.75
368,ORD103671,2025-10-26,Customer Changed Mind,64095.22
369,ORD103681,2024-10-20,Late Delivery,7935.43
370,ORD103691,2024-06-08,Damaged,6172.56
371,ORD103701,2024-09-23,Wrong Item,8015.95
372,ORD103711,2024-12-26,Size Issue,90967.77
373,ORD103721,2025-10-09,Customer Changed Mind,9726.48
374,ORD103731,2025-10-11,Late Delivery,38555.71
375,ORD103741,2024-09-08,Damaged,49872.49
376,ORD103751,2024-04-13,Wrong Item,27203.04
377,ORD103761,2025-03-12,Size Issue,15374.05
378,ORD103771,2024-06-19,Customer Changed Mind,9509
379,ORD103781,2025-12-01,Late Delivery,44724.38
380,ORD103791,2024-05-06,Damaged,3168.58
381,ORD103801,2025-06-15,Wrong Item,20194
382,ORD103811,2025-08-21,Size Issue,22147.34
383,ORD103821,2024-04-09,Customer Changed Mind,13205.83
384,ORD103831,2024-03-14,Late Delivery,9801.35
385,ORD103841,2024-08-08,Damaged,57353.78
386,ORD103851,2025-06-30,Wrong Item,21251.46
387,ORD103861,2025-05-29,Size Issue,11825.28
388,ORD103871,2025-05-27,Customer Changed Mind,29049.8
389,ORD103881,2024-09-29,Late Delivery,53641.95
390,ORD103891,2025-04-06,Damaged,11568.54
391,ORD103901,2024-08-29,Wrong Item,13800.19
392,ORD103911,2025-05-26,Size Issue,80645.69
393,ORD103921,2024-07-02,Customer Changed Mind,34562.61
394,ORD103931,2024-07-31,Late Delivery,40194.83
395,ORD103941,2024-11-09,Damaged,2608.28
396,ORD103951,2025-08-13,Wrong Item,20353.32
397,ORD103961,2025-07-16,Size Issue,44473.79
398,ORD103971,2024-05-25,Customer Changed Mind,19585.48
399,ORD103981,2024-03-19,Late Delivery,24703.1
400,ORD103991,2024-09-28,Damaged,15496.18
401,ORD104001,2024-07-04,Wrong Item,29850.2
402,ORD104011,2025-11-15,Size Issue,17989.42
403,ORD104021,2026-01-06,Customer Changed Mind,39952.06
404,ORD104031,2025-09-24,Late Delivery,14323.58
405,ORD104041,2025-11-25,Damaged,50709.35
406,ORD104051,2024-07-24,Wrong Item,93990.78
407,ORD104061,2025-05-04,Size Issue,46177.07
408,ORD104071,2025-02-02,Customer Changed Mind,12331.2
409,ORD104081,2025-02-10,Late Delivery,16255.69
410,ORD104091,2024-09-18,Damaged,56529.34
411,ORD104101,2024-07-30,Wrong Item,26078.42
412,ORD104111,2024-03-01,Size Issue,10687.93
413,ORD104121,2025-01-16,Customer Changed Mind,14787.88
414,ORD104131,2024-06-03,Late Delivery,32006.68
415,ORD104141,2024-10-09,Damaged,10020.1
416,ORD104151,2024-01-26,Wrong Item,10352.3
417,ORD104161,2024-08-16,Size Issue,10870.77
418,ORD104171,2025-12-22,Customer Changed Mind,25041.76
419,ORD104181,2024-10-15,Late Delivery,14733
420,ORD104191,2024-10-18,Damaged,12003.05
421,ORD104201,2025-09-24,Wrong Item,22210.73
422,ORD104211,2025-12-24,Size Issue,80283.42
423,ORD104221,2025-05-30,Customer Changed Mind,12179.62
424,ORD104231,2025-07-13,Late Delivery,81779.96
425,ORD104241,2024-02-20,Damaged,75374.24
426,ORD104251,2024-09-01,Wrong Item,8567.06
427,ORD104261,2024-09-24,Size Issue,2876.4
428,ORD104271,2024-07-19,Customer Changed Mind,53169.1
429,ORD104281,2025-01-11,Late Delivery,8195.57
430,ORD104291,2024-09-10,Damaged,17322.12
431,ORD104301,2025-03-05,Wrong Item,12399.02
432,ORD104311,2024-09-26,Size Issue,82878.38
433,ORD104321,2025-04-05,Customer Changed Mind,6361.92
434,ORD104331,2025-04-04,Late Delivery,9418.58
435,ORD104341,2024-07-27,Damaged,1132.53
436,ORD104351,2025-02-03,Wrong Item,17506.77
437,ORD104361,2025-11-08,Size Issue,16328.48
438,ORD104371,2024-11-13,Customer Changed Mind,9466.78
439,ORD104381,2024-03-16,Late Delivery,49916.11
440,ORD104391,2024-01-16,Damaged,14653.41
441,ORD104401,2024-04-11,Wrong Item,50109.48
442,ORD104411,2024-02-14,Size Issue,16496.45
443,ORD104421,2025-04-15,Customer Changed Mind,21485.33
444,ORD104431,2025-02-18,Late Delivery,35884.67
445,ORD104441,2024-07-06,Damaged,9820.61
446,ORD104451,2025-10-05,Wrong Item,13325.5
447,ORD104461,2024-03-18,Size Issue,57647.85
448,ORD104471,2025-05-12,Customer Changed Mind,67557.87
449,ORD104481,2025-10-09,Late Delivery,3912.42
450,ORD104491,2024-08-30,Damaged,17217.98
451,ORD104501,2024-08-06,Wrong Item,2518.51
452,ORD104511,2024-12-11,Size Issue,49635.35
453,ORD104521,2025-03-06,Customer Changed Mind,33412.32
454,ORD104531,2025-10-31,Late Delivery,8565.32
455,ORD104541,2024-08-16,Damaged,45784.71
456,ORD104551,2025-12-26,Wrong Item,3211.94
457,ORD104561,2025-09-05,Size Issue,27675.74
458,ORD104571,2024-12-16,Customer Changed Mind,33079
459,ORD104581,2025-02-28,Late Delivery,19682.26
460,ORD104591,2025-10-06,Damaged,35466.56
461,ORD104601,2025-10-10,Wrong Item,17322.12
462,ORD104611,2025-02-28,Size Issue,38356.71
463,ORD104621,2025-09-23,Customer Changed Mind,27068.09
464,ORD104631,2024-04-13,Late Delivery,14345.46
465,ORD104641,2025-04-16,Damaged,32783.4
466,ORD104651,2025-12-01,Wrong Item,7528.1
467,ORD104661,2025-10-26,Size Issue,25385.52
468,ORD104671,2024-05-21,Customer Changed Mind,77214.53
469,ORD104681,2024-09-04,Late Delivery,106966.63
470,ORD104691,2025-08-28,Damaged,58880.07
471,ORD104701,2025-02-11,Wrong Item,4757.19
472,ORD104711,2025-11-15,Size Issue,27675.74
473,ORD104721,2024-04-14,Customer Changed Mind,112955.75
474,ORD104731,2025-05-03,Late Delivery,42967.8
475,ORD104741,2025-01-08,Damaged,10625.73
476,ORD104751,2024-05-22,Wrong Item,22318.24
477,ORD104761,2025-12-08,Size Issue,87660.54
478,ORD104771,2025-09-18,Customer Changed Mind,29000.56
479,ORD104781,2025-07-23,Late Delivery,40889.98
480,ORD104791,2025-08-06,Damaged,10457.93
481,ORD104801,2025-08-02,Wrong Item,68228.2
482,ORD104811,2025-03-14,Size Issue,15464.16
483,ORD104821,2025-04-30,Customer Changed Mind,5953.63
484,ORD104831,2025-12-13,Late Delivery,36832.75
485,ORD104841,2024-09-11,Damaged,53535.39
486,ORD104851,2025-01-17,Wrong Item,66082.43
487,ORD104861,2025-12-28,Size Issue,32365.11
488,ORD104871,2024-11-13,Customer Changed Mind,68151.1
489,ORD104881,2024-05-19,Late Delivery,62547.38
490,ORD104891,2024-09-29,Damaged,16027.21
491,ORD104901,2024-05-11,Wrong Item,44739.92
492,ORD104911,2024-01-26,Size Issue,28386.99
493,ORD104921,2025-07-03,Customer Changed Mind,4794.84
494,ORD104931,2024-10-01,Late Delivery,33702.48
495,ORD104941,2025-04-08,Damaged,75189.15
496,ORD104951,2024-12-17,Wrong Item,24672.17
497,ORD104961,2024-09-07,Size Issue,30013.06
498,ORD104971,2024-05-12,Customer Changed Mind,1075.9
499,ORD104981,2024-08-31,Late Delivery,2932.16
500,ORD104991,2024-05-18,Damaged,2512.2
501,ORD105001,2024-10-20,Wrong Item,9734.6
502,ORD105011,2024-11-09,Size Issue,9283.24
503,ORD105021,2025-09-11,Customer Changed Mind,70090.89
504,ORD105031,2025-08-26,Late Delivery,104434.2
505,ORD105041,2024-08-28,Damaged,45395.41
506,ORD105051,2025-12-07,Wrong Item,11269.01
507,ORD105061,2024-02-10,Size Issue,52689.23
508,ORD105071,2024-12-31,Customer Changed Mind,15939.4
509,ORD105081,2025-03-20,Late Delivery,2283
510,ORD105091,2024-12-22,Damaged,19566.39
511,ORD105101,2024-10-09,Wrong Item,4971.02
512,ORD105111,2024-11-16,Size Issue,48881.18
513,ORD105121,2024-04-03,Customer Changed Mind,18083.49
514,ORD105131,2024-08-02,Late Delivery,33313.75
515,ORD105141,2025-06-14,Damaged,2363.68
516,ORD105151,2024-12-01,Wrong Item,91422.3
